threshold,net_benefit_treat_all,net_benefit_treat_none,net_benefit_rsf_clinical,net_benefit_rsf_trimodal
0.05,0.17091114883984154,0.0,0.17204301075268819,0.17091114883984154
0.060000000000000005,0.16209105467856327,0.0,0.16432166552276367,0.16226264012811714
0.07,0.1530812810729564,0.0,0.1550468262226847,0.15368828766331366
0.08000000000000002,0.14387564282374943,0.0,0.1457456755493221,0.14551192145862551
0.09000000000000001,0.1344676828547796,0.0,0.13219307574146283,0.13765804088384734
0.1,0.12485065710872163,0.0,0.12514934289127838,0.13022700119474312
0.11000000000000001,0.11501751842454995,0.0,0.11912528693971244,0.11963875800410777
0.12000000000000001,0.10496089931573803,0.0,0.1120478983382209,0.11510263929618768
0.13,0.09467309356074652,0.0,0.09816462736373749,0.10697070819428996
0.14,0.08414603650912728,0.0,0.09027256814203552,0.09877469367341833
0.15000000000000002,0.07337128399746995,0.0,0.08222643896268182,0.09740670461733077
0.16000000000000003,0.06233998975934457,0.0,0.07309267793138759,0.09370199692780336
0.17000000000000004,0.051042881202228246,0.0,0.073260785075787,0.08637776914108043
0.18000000000000005,0.0394702334120115,0.0,0.06917125622869129,0.08182533438237605
0.19,0.02761184123191293,0.0,0.06700517722023099,0.0682994822779769
0.2,0.015456989247311842,0.0,0.0625,0.06653225806451613
0.21000000000000002,0.0029944194909486965,0.0,0.05995644480740439,0.0605008847148496
0.22000000000000003,-0.009787703336090442,0.0,0.05410807830162666,0.05831265508684863
0.23000000000000004,-0.022901829353442288,0.0,0.055474095796676406,0.06242144951822369
0.24000000000000005,-0.036361063950198086,0.0,0.05107526881720428,0.06465761177136388
0.25000000000000006,-0.05017921146953411,0.0,0.050179211469534024,0.05465949820788529
0.26000000000000006,-0.06437082243533862,0.0,0.046207497820401025,0.057977332170880545
0.27,-0.07895124466048023,0.0,0.0456989247311828,0.05184857858300191
0.28,-0.09393667861409802,0.0,0.04286140979689365,0.049283154121863786
0.29000000000000004,-0.10934423746781766,0.0,0.03358321974859911,0.05028017567772224
0.30000000000000004,-0.12519201228878654,0.0,0.021505376344086016,0.050307219662058374
0.31000000000000005,-0.1414991429016675,0.0,0.020258687860370876,0.04414056412653887
0.32000000000000006,-0.15828589500316262,0.0,0.026249209361163803,0.040955091714104996
0.33,-0.17557374418231433,0.0,0.027644037875140415,0.042087947359974315
0.34,-0.19338546757901606,0.0,0.02826653633105245,0.03828608667318344
0.35000000000000003,-0.2117452440033086,0.0,0.022332506203473934,0.028122415219189408
0.36000000000000004,-0.23067876344086033,0.0,0.02066532258064515,0.02486559139784946
0.37000000000000005,-0.2502133469875406,0.0,0.023937532002048123,0.025644307902372418
0.38000000000000006,-0.2703780783905655,0.0,0.023933402705515076,0.023846687478321187
0.39000000000000007,-0.2912039485281158,0.0,0.02648510488277806,0.025603736999823722
0.4000000000000001,-0.31272401433691777,0.0,0.02419354838709676,0.024193548387096767
0.4100000000000001,-0.33497357390195026,0.0,0.02200656096227445,0.021049753963914702
0.42000000000000004,-0.35799035965888026,0.0,0.019929551353355578,0.014460511679644046
0.43000000000000005,-0.3818147519335975,0.0,0.017308055083946422,0.013393699302018487
0.44000000000000006,-0.4064900153609833,0.0,0.020353302611367124,0.015168970814132106
0.45000000000000007,-0.43206256109481933,0.0,0.018817204301075263,0.014418377321603126
0.4600000000000001,-0.45858223815213073,0.0,0.014735165272799677,0.006172839506172839
0.4700000000000001,-0.4861026577399068,0.0,0.013795901805640085,0.00598498681274092
0.4800000000000001,-0.5146815550041358,0.0,0.009925558312655076,0.003101736972704712
0.49000000000000005,-0.5443811933375501,0.0,0.016656124815517606,-0.0024773350200295178
0.5000000000000001,-0.5752688172043015,0.0,0.018817204301075266,-1.3010426069826053e-18
0.5100000000000001,-0.6074171604125524,0.0,0.010423524248409038,0.002688172043010753
0.5200000000000001,-0.6409050179211473,0.0,0.007392473118279565,0.0
0.5300000000000001,-0.6758178906428739,0.0,0.0020018302447952375,0.0
0.5400000000000001,-0.7122487143525016,0.0,-0.0009350163627863534,0.0
0.5500000000000002,-0.7502986857825572,0.0,-0.0011947431302270052,0.0
0.5600000000000002,-0.7900782013685246,0.0,-0.004154447702834805,0.0
0.5700000000000002,-0.8317079269817462,0.0,-0.004438609652413109,0.0
0.5800000000000002,-0.8753200204813116,0.0,-0.004736303123399904,0.0
0.5900000000000002,-0.9210595331759777,0.0,-0.003868345135064257,0.0
0.6000000000000002,-0.9690860215053771,0.0,-0.004032258064516133,0.0
