Model,Modality,IBS,IBS_std,AUC_1y,AUC_1y_std,AUC_2y,AUC_2y_std,AUC_3y,AUC_3y_std,AUC_5y,AUC_5y_std,AUC_10y,AUC_10y_std
AFT_Best,Clinical,,,0.7339695133831586,0.0716576631779009,0.706031438190335,0.03141789795255574,0.7152499395359301,0.029691126702973032,0.7368150569254757,0.014352882878249078,0.7109101898718648,0.01627676627567236
CoxPH,Clinical,0.14708189084660017,0.0017065912427489895,0.6808901569772039,0.10359535094988309,0.6385951462879363,0.06163724399242381,0.6521918392447072,0.03536456843439087,0.6907537453126325,0.0236974732823939,0.700281496656463,0.019258297723607487
DeepSurv,Clinical,,,0.6798490053967075,0.07499290362772154,0.650504521219627,0.023610855042044965,0.659819550707661,0.03653943815935004,0.6994919638469732,0.00969318325835185,0.7030026521559269,0.005185854964414623
GBSA,Clin+Mut,0.1401450223880459,0.0016345816841141674,0.7147056040351969,0.04325768373705592,0.6892621986014446,0.011576888873793656,0.7051558097875843,0.029143763589310874,0.7268706423808927,0.019462261717296238,0.7242136595685483,0.013539198663012782
GBSA,Clinical,0.14021152054395358,0.0026705305306909503,0.749464972048985,0.028414780170489214,0.6824960238908473,0.019550001094608988,0.7101906505433189,0.029006136654819145,0.7319297445804467,0.02539691870603066,0.729504818010994,0.015287341559161588
GBSA,Trimodal,0.138800364271767,0.001775177452507115,0.7112776248953488,0.04721793981814111,0.6800348213549221,0.029299246536479424,0.7147352794651968,0.033340491492087426,0.7388562322800987,0.017743755988473473,0.7268335073804142,0.011554313886334976
RSF,Clin+Mut,0.13771808886282905,0.004345780375197911,0.7322304339937877,0.05251652708525402,0.6877159006229869,0.013234424716605889,0.7123707627520692,0.02377901809538522,0.7380332085228872,0.018472682761105162,0.7346796740282086,0.011746065105378322
RSF,Clinical,0.13620304698623453,0.004048793543503186,0.715892269372651,0.03464088703520715,0.6730416184914692,0.01820209670919709,0.7121926267538552,0.028598340713050834,0.7382776686667494,0.020550664911387455,0.7311163635790634,0.005024923238821679
RSF,Trimodal,0.13975118720274027,0.0016604424214402764,0.6985566140431066,0.05090713075954922,0.680955428374893,0.04384035723602595,0.7187020381234073,0.03532612758066332,0.7507048032818543,0.014416321908170947,0.7400788642153333,0.018323471396925348
