dataset,model,train_set,train_n,train_events,clinical_features,mutation_features,mrna_genes_requested,mrna_genes_used,mrna_pca_components,subtype,n_test,n_events,event_rate,comparable_pairs,c_clinical,c_trimodal,delta_trimodal_minus_clinical,delta_ci_lower,delta_ci_upper,p_value,bootstrap_replicates,internal_train_c_clinical,internal_train_c_trimodal,note
TCGA-BRCA PanCancer Atlas 3-way complete,RSF fixed-parameter external validation,METABRIC,1858,1088,"age_at_diagnosis, lymph_nodes_examined_positive, subtype",155,1000,905,20,All_3way_TCGA,981,134,0.1366,51807,0.6899,0.7028,0.013,-0.0143,0.0425,0.354,1000,0.7082,0.7869,Clinical and trimodal models are evaluated on the same TCGA 3-way-complete patients. Mutation features are binary recurrent METABRIC genes; mRNA uses TCGA RNA-seq z-scores for selected METABRIC genes and PCA fitted on METABRIC.
TCGA-BRCA PanCancer Atlas 3-way complete,RSF fixed-parameter external validation,METABRIC,1858,1088,"age_at_diagnosis, lymph_nodes_examined_positive, subtype",155,1000,905,20,Known_PAM50,968,132,0.1364,50123,0.6992,0.7095,0.0104,-0.0188,0.0382,0.544,1000,0.7082,0.7869,Clinical and trimodal models are evaluated on the same TCGA 3-way-complete patients. Mutation features are binary recurrent METABRIC genes; mRNA uses TCGA RNA-seq z-scores for selected METABRIC genes and PCA fitted on METABRIC.
TCGA-BRCA PanCancer Atlas 3-way complete,RSF fixed-parameter external validation,METABRIC,1858,1088,"age_at_diagnosis, lymph_nodes_examined_positive, subtype",155,1000,905,20,Basal,169,22,0.1302,1849,0.7699,0.7747,0.0049,-0.051,0.0731,0.866,1000,0.7082,0.7869,Clinical and trimodal models are evaluated on the same TCGA 3-way-complete patients. Mutation features are binary recurrent METABRIC genes; mRNA uses TCGA RNA-seq z-scores for selected METABRIC genes and PCA fitted on METABRIC.
TCGA-BRCA PanCancer Atlas 3-way complete,RSF fixed-parameter external validation,METABRIC,1858,1088,"age_at_diagnosis, lymph_nodes_examined_positive, subtype",155,1000,905,20,Her2,75,15,0.2,604,0.6785,0.7124,0.0339,-0.0151,0.0822,0.172,1000,0.7082,0.7869,Clinical and trimodal models are evaluated on the same TCGA 3-way-complete patients. Mutation features are binary recurrent METABRIC genes; mRNA uses TCGA RNA-seq z-scores for selected METABRIC genes and PCA fitted on METABRIC.
TCGA-BRCA PanCancer Atlas 3-way complete,RSF fixed-parameter external validation,METABRIC,1858,1088,"age_at_diagnosis, lymph_nodes_examined_positive, subtype",155,1000,905,20,LumA,496,57,0.1149,9704,0.6985,0.7087,0.0102,-0.0358,0.0614,0.694,1000,0.7082,0.7869,Clinical and trimodal models are evaluated on the same TCGA 3-way-complete patients. Mutation features are binary recurrent METABRIC genes; mRNA uses TCGA RNA-seq z-scores for selected METABRIC genes and PCA fitted on METABRIC.
TCGA-BRCA PanCancer Atlas 3-way complete,RSF fixed-parameter external validation,METABRIC,1858,1088,"age_at_diagnosis, lymph_nodes_examined_positive, subtype",155,1000,905,20,LumB,193,31,0.1606,1794,0.6512,0.6247,-0.0264,-0.0976,0.0463,0.42,1000,0.7082,0.7869,Clinical and trimodal models are evaluated on the same TCGA 3-way-complete patients. Mutation features are binary recurrent METABRIC genes; mRNA uses TCGA RNA-seq z-scores for selected METABRIC genes and PCA fitted on METABRIC.
TCGA-BRCA PanCancer Atlas 3-way complete,RSF fixed-parameter external validation,METABRIC,1858,1088,"age_at_diagnosis, lymph_nodes_examined_positive, subtype",155,1000,905,20,Normal,35,7,0.2,104,0.4375,0.5096,0.0721,-0.1,0.3755,0.4915,997,0.7082,0.7869,Clinical and trimodal models are evaluated on the same TCGA 3-way-complete patients. Mutation features are binary recurrent METABRIC genes; mRNA uses TCGA RNA-seq z-scores for selected METABRIC genes and PCA fitted on METABRIC.
TCGA-BRCA PanCancer Atlas 3-way complete,RSF fixed-parameter external validation,METABRIC,1858,1088,"age_at_diagnosis, lymph_nodes_examined_positive, subtype",155,1000,905,20,Unknown,13,2,0.1538,12,0.2917,0.4167,0.125,-0.25,0.4091,0.8103,812,0.7082,0.7869,Clinical and trimodal models are evaluated on the same TCGA 3-way-complete patients. Mutation features are binary recurrent METABRIC genes; mRNA uses TCGA RNA-seq z-scores for selected METABRIC genes and PCA fitted on METABRIC.
