model,train_auc_final,cv_auc_final,gap
Logistic Regression,0.7456962002950167,0.7240153034536162,0.02168089684140051
Random Forest,0.9653646731868231,0.726076182808622,0.2392884903782011
HistGradientBoosting,0.9269897331993248,0.7166004484598364,0.21038928473948837
XGBoost,0.9579113353482009,0.7240304737289408,0.23388086161926014
